t,u1,u2,u3,u4,u5,u6,u_norm,e1,e2,e3,e4,e5,e6,e_norm,q1,q2,q3,q4,q5,q6
1.466666666666666674e-01,1.562429877940360312e-01,-7.000196289160883802e-03,8.712341750871113732e-03,-8.477539697141240217e-04,-2.509635617151463908e-04,1.562457566694068767e-01,2.212471401586380559e-01,-1.134520344518952228e-02,-1.371155855290506764e-02,1.681664407884753132e-02,-8.304862048511552075e-04,-3.387972445256792753e-06,-1.134555243800505764e-02,2.699872730658706491e-02,-1.317974347149156067e+00,-2.322629378590401750e-01,-1.784549843427041260e+00,4.499029865554726726e-01,1.576951713696690405e+00,2.464604182123451004e-01
1.600000000000000033e-01,1.561396035485754785e-01,-7.398464791143821891e-03,9.219473888139154832e-03,-9.530416134321032483e-04,-2.527688490963324189e-04,1.561423641581213551e-01,2.211350760093060974e-01,-1.133315641466747792e-02,-1.369639732497329732e-02,1.679927959563798368e-02,-8.295104177662437905e-04,-3.382323392475683477e-06,-1.133350503690078170e-02,2.697005680991463455e-02,-1.315891107311902175e+00,-2.323562738095623637e-01,-1.784433678870362971e+00,4.498916831692096885e-01,1.576948367515867311e+00,2.485436949679371565e-01
1.733333333333333393e-01,1.560349202629587317e-01,-7.796600795855535004e-03,9.726574721255305464e-03,-1.058462319086118019e-03,-2.545670383183936823e-04,1.560376725497902572e-01,2.210231435457822857e-01,-1.132112217641845220e-02,-1.368122091000767426e-02,1.678195913190805300e-02,-8.285307854292156549e-04,-3.376574980507029977e-06,-1.132147042846343155e-02,2.694141667680249527e-02,-1.313809245931254477e+00,-2.324549200067775878e-01,-1.784310752551854451e+00,4.498789759476973238e-01,1.576944997264545734e+00,2.506255931567120676e-01
1.866666666666666752e-01,1.559289424148549430e-01,-8.194597891494202757e-03,1.023364313412130668e-02,-1.164021455144472568e-03,-2.563580694209793690e-04,1.559316863227151739e-01,2.209113519805363246e-01,-1.130910071685953255e-02,-1.366602942748729177e-02,1.676468255065088897e-02,-8.275473289502954799e-04,-3.370727820417585008e-06,-1.130944859910876232e-02,2.691280687554647652e-02,-1.311728780327748423e+00,-2.325588746840558940e-01,-1.784181064888904489e+00,4.498648631167760925e-01,1.576941603037368189e+00,2.527060954573761009e-01
2.000000000000000111e-01,1.553054459673323395e-01,-8.559536065578214267e-03,1.069958144450292720e-02,-1.265098547813754302e-03,-2.572775983374261380e-04,1.553081724286391185e-01,2.200677698734634091e-01,-1.129709202242068500e-02,-1.365082299765685292e-02,1.674744971399100280e-02,-8.265600696146790938e-04,-3.364782527270904211e-06,-1.129743953526807232e-02,2.688422737447622099e-02,-1.309649727762216997e+00,-2.326681359892757150e-01,-1.784044616313782861e+00,4.498493428307073216e-01,1.576938184929775666e+00,2.547851846083455385e-01
2.133333333333333470e-01,1.546817428465395716e-01,-8.920371463369613368e-03,1.116044599180047482e-02,-1.365269778106791791e-03,-2.581721855380981578e-04,1.546844518907673216e-01,2.192254100760559488e-01,-1.128509607954786276e-02,-1.363560435142963101e-02,1.673025834690466951e-02,-8.255694363779042533e-04,-3.358748599247007860e-06,-1.128544322338509431e-02,2.685567814878724036e-02,-1.307578988482652527e+00,-2.327822631368166029e-01,-1.783901955227856106e+00,4.498324748500697190e-01,1.576934754561797547e+00,2.568559602407272102e-01
2.266666666666666829e-01,1.548311222786496744e-01,-9.330416773404206360e-03,1.168291378586497169e-02,-1.472530561052313655e-03,-2.603559542052523933e-04,1.548338273702261347e-01,2.194811468152758072e-01,-1.127311287469989765e-02,-1.362037391490611427e-02,1.671310806127346282e-02,-8.245754983144948369e-04,-3.352627675923258721e-06,-1.127345964991910421e-02,2.682715916764707997e-02,-1.305516565244698723e+00,-2.329012014229947525e-01,-1.783753149281298800e+00,4.498142712530284193e-01,1.576931312265990925e+00,2.589184195992708659e-01
2.400000000000000189e-01,1.557514079381992489e-01,-9.797558191127793761e-03,1.227705286842299681e-02,-1.588997477351033029e-03,-2.638640045836556595e-04,1.557541223719867141e-01,2.208328789411524440e-01,-1.126114239435205278e-02,-1.360512789534151779e-02,1.669600192154652163e-02,-8.235776659213378537e-04,-3.346407063453682440e-06,-1.126148880134403285e-02,2.679867038925252271e-02,-1.303452150280983490e+00,-2.330256069799734320e-01,-1.783597377097487335e+00,4.497946375122143792e-01,1.576927840853268314e+00,2.609828706308738866e-01
2.533333333333333548e-01,1.574411574155100690e-01,-1.032894959152367426e-02,1.295203564918265965e-02,-1.716745971717449550e-03,-2.687298798006243299e-04,1.574438944243179428e-01,2.232795552652164228e-01,-1.124918462499202576e-02,-1.358986189576327774e-02,1.667894348524612269e-02,-8.225752555910403885e-04,-3.340072051827291943e-06,-1.124953066414713376e-02,2.677021177032203395e-02,-1.301375464841807439e+00,-2.331562410891883097e-01,-1.783433683059241659e+00,4.497734508791828567e-01,1.576924322666540590e+00,2.630595922625005301e-01
2.666666666666666630e-01,1.761198457997194267e-01,3.279642058930224129e-03,-4.381162350657939394e-03,1.959605456184952341e-03,-3.034949712759528592e-04,1.761228980148097645e-01,2.491412412427357614e-01,-1.123722861369103043e-02,-1.357456016287450495e-02,1.666192348006489965e-02,-8.215665373230152113e-04,-3.333585223863622105e-06,-1.123757428390792512e-02,2.674176028352999446e-02,-1.299276249409600625e+00,-2.332939604170753967e-01,-1.783260989250585959e+00,4.497505609328933396e-01,1.576920739601476384e+00,2.651588441881580493e-01
