ref_x,ref_y,ref_z,fk_x,fk_y,fk_z,err_x,err_y,err_z,xy_err,xyz_err
3.340120260420126330e-02,-7.863841253182950464e-01,1.000000000000000056e-01,3.340120260420188780e-02,-7.863841253182971558e-01,9.999999999999964473e-02,6.245004513516505540e-16,-2.109423746787797427e-15,-3.608224830031758756e-16,2.199924852637172631e-15,2.229318779692860090e-15
3.504863933749069460e-02,-7.863841253182950464e-01,1.000000000000000056e-01,3.504863933749073623e-02,-7.863841253182948243e-01,9.999999999999992228e-02,4.163336342344337027e-17,2.220446049250313081e-16,-8.326672684688674053e-17,2.259140179941513686e-16,2.407706197318431065e-16
3.669607607078012590e-02,-7.863841253182950464e-01,1.000000000000000056e-01,3.669607607077966793e-02,-7.863841253182938251e-01,9.999999999999986677e-02,-4.579669976578770729e-16,1.221245327087672194e-15,-1.387778780781445676e-16,1.304290581073575630e-15,1.311652857779495591e-15
3.834351280406955720e-02,-7.863841253182950464e-01,1.000000000000000056e-01,3.834351280406946005e-02,-7.863841253182950464e-01,9.999999999999986677e-02,-9.714451465470119729e-17,0.000000000000000000e+00,-1.387778780781445676e-16,9.714451465470119729e-17,1.693999886994382596e-16
3.999094953735898850e-02,-7.863841253182950464e-01,1.000000000000000056e-01,3.999094953735882890e-02,-7.863841253182949353e-01,9.999999999999975575e-02,-1.595945597898662527e-16,1.110223024625156540e-16,-2.498001805406602216e-16,1.944128986425527896e-16,3.165383157798530207e-16
4.163838627064841980e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.163838627064842673e-02,-7.863841253182943802e-01,9.999999999999997780e-02,6.938893903907228378e-18,6.661338147750939243e-16,-2.775557561562891351e-17,6.661699538672011082e-16,6.667479129425031613e-16
4.328033154816018913e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.328033154816030709e-02,-7.863841253182954905e-01,9.999999999999986677e-02,1.179611963664228824e-16,-4.440892098500626162e-16,-1.387778780781445676e-16,4.594889227755667596e-16,4.799889265361473931e-16
4.491678536989435200e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.491678536989474058e-02,-7.863841253182960456e-01,9.999999999999986677e-02,3.885780586188047891e-16,-9.992007221626408864e-16,-1.387778780781445676e-16,1.072098405376252039e-15,1.081043149117635742e-15
4.655598491951731810e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.655598491951690870e-02,-7.863841253182946023e-01,9.999999999999992228e-02,-4.093947403305264743e-16,4.440892098500626162e-16,-8.326672684688674053e-17,6.040027149902160121e-16,6.097152019716633190e-16
4.820616738069555263e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.820616738069607304e-02,-7.863841253182969337e-01,9.999999999999953371e-02,5.204170427930421283e-16,-1.887379141862766119e-15,-4.718447854656915297e-16,1.957813556896592313e-15,2.013869763698549276e-15
4.987556993709552078e-02,-7.863841253182950464e-01,1.000000000000000056e-01,4.987556993709552772e-02,-7.863841253182949353e-01,9.999999999999975575e-02,6.938893903907228378e-18,1.110223024625156540e-16,-2.498001805406602216e-16,1.112389315513592667e-16,2.734487705052528479e-16
5.170697043893557332e-02,-7.862523318152128127e-01,1.000000000000000056e-01,5.170697043893594802e-02,-7.862523318152139229e-01,9.999999999999992228e-02,3.747002708109903324e-16,-1.110223024625156540e-15,-8.326672684688674053e-17,1.171748888351792049e-15,1.174703709517193322e-15
5.369487743043815930e-02,-7.859887448090482343e-01,1.000000000000000056e-01,5.369487743043851319e-02,-7.859887448090495665e-01,9.999999999999975575e-02,3.538835890992686473e-16,-1.332267629550187849e-15,-2.498001805406602216e-16,1.378466768326700279e-15,1.400917828275164397e-15
5.562512413627565544e-02,-7.857910545544248837e-01,1.000000000000000056e-01,5.562512413627616198e-02,-7.857910545544265490e-01,9.999999999999992228e-02,5.065392549852276716e-16,-1.665334536937734811e-15,-8.326672684688674053e-17,1.740666865531313907e-15,1.742657305541856420e-15
5.728354378112035517e-02,-7.858569513059660006e-01,1.000000000000000056e-01,5.728354378112027884e-02,-7.858569513059655565e-01,9.999999999999981126e-02,-7.632783294297951215e-17,4.440892098500626162e-16,-1.942890293094023946e-16,4.506008925723786807e-16,4.907029562749893646e-16
5.845596958964463519e-02,-7.863841253182950464e-01,1.000000000000000056e-01,5.845596958964524581e-02,-7.863841253182970448e-01,9.999999999999997780e-02,6.106226635438360972e-16,-1.998401444325281773e-15,-2.775557561562891351e-17,2.089609621416100893e-15,2.089793947233194682e-15
5.907650409251696821e-02,-7.875043700944943659e-01,1.000000000000000056e-01,5.907650409251623963e-02,-7.875043700944921454e-01,9.999999999999986677e-02,-7.285838599102589797e-16,2.220446049250313081e-15,-1.387778780781445676e-16,2.336924281732948077e-15,2.341041306341459582e-15
5.928792513995581603e-02,-7.890858921314816143e-01,1.000000000000000056e-01,5.928792513995586461e-02,-7.890858921314818364e-01,9.999999999999947820e-02,4.857225732735059864e-17,-2.220446049250313081e-16,-5.273559366969493567e-16,2.272951182013982273e-16,5.742537372344253718e-16
5.918907893595845571e-02,-7.909310011746333302e-01,1.000000000000000056e-01,5.918907893595767161e-02,-7.909310011746315539e-01,9.999999999999975575e-02,-7.840950111415168067e-16,1.776356839400250465e-15,-2.498001805406602216e-16,1.941712802497079676e-15,1.957715182956706158e-15
5.887881168452224756e-02,-7.928420069693262739e-01,1.000000000000000056e-01,5.887881168452206021e-02,-7.928420069693252747e-01,9.999999999999964473e-02,-1.873501354054951662e-16,9.992007221626408864e-16,-3.608224830031758756e-16,1.016613080973681159e-15,1.078746967850838374e-15
5.845596958964463519e-02,-7.946212192609369840e-01,1.000000000000000056e-01,5.845596958964525275e-02,-7.946212192609385383e-01,9.999999999999981126e-02,6.175615574477433256e-16,-1.554312234475219157e-15,-1.942890293094023946e-16,1.672503751707789370e-15,1.683750880144275003e-15
5.784367227043879511e-02,-7.963290434050447342e-01,1.000000000000000056e-01,5.784367227043844123e-02,-7.963290434050440680e-01,9.999999999999997780e-02,-3.538835890992686473e-16,6.661338147750939243e-16,-2.775557561562891351e-17,7.542995782980388355e-16,7.548100594178339851e-16
5.697602225757297800e-02,-7.980972729047318692e-01,1.000000000000000056e-01,5.697602225757283922e-02,-7.980972729047310921e-01,9.999999999999981126e-02,-1.387778780781445676e-16,7.771561172376095783e-16,-1.942890293094023946e-16,7.894497640785698187e-16,8.130062465403936589e-16
5.596834012237761335e-02,-7.998352997266292563e-01,1.000000000000000056e-01,5.596834012237779377e-02,-7.998352997266292563e-01,1.000000000000000333e-01,1.804112415015879378e-16,0.000000000000000000e+00,2.775557561562891351e-17,1.804112415015879378e-16,1.825337997136398292e-16
5.493594643618285311e-02,-8.014525158373679847e-01,1.000000000000000056e-01,5.493594643618250617e-02,-8.014525158373665414e-01,1.000000000000000333e-01,-3.469446951953614189e-16,1.443289932012703503e-15,2.775557561562891351e-17,1.484404408971300743e-15,1.484663874872420920e-15
5.399416177031909903e-02,-8.028583132035788106e-01,1.000000000000000056e-01,5.399416177031886310e-02,-8.028583132035780334e-01,9.999999999999975575e-02,-2.359223927328457648e-16,7.771561172376095783e-16,-2.498001805406602216e-16,8.121767085755589087e-16,8.497241529759964734e-16
5.301668264190070867e-02,-8.039922864696824600e-01,1.000000000000000056e-01,5.301668264190052826e-02,-8.039922864696820159e-01,9.999999999999981126e-02,-1.804112415015879378e-16,4.440892098500626162e-16,-1.942890293094023946e-16,4.793364605007605814e-16,5.172153026307197828e-16
