time_s,x_m,y_m,z_m
1.780994367540614843e+09,1.400193599113679771e-02,-7.967586808479452110e-01,1.000185447102756031e-01
1.780994367558093786e+09,1.401009277587175229e-02,-7.967581194369692810e-01,9.998285819507224392e-02
1.780994367568993092e+09,1.400272265837787869e-02,-7.967621954633289372e-01,9.999754200383736968e-02
1.780994367587312222e+09,1.400948277066892816e-02,-7.967507961795295968e-01,9.997869800521130834e-02
1.780994367606828213e+09,1.400943939716177596e-02,-7.967506145911890103e-01,9.999422949841968444e-02
1.780994367616971016e+09,1.402228613727529716e-02,-7.967439561600965225e-01,9.997911152684413327e-02
1.780994367627157450e+09,1.401643068606393643e-02,-7.967351845886211370e-01,9.998857434864366622e-02
1.780994367637328148e+09,1.401910626522813105e-02,-7.967748593546583047e-01,1.000036261941695259e-01
1.780994367647802830e+09,1.401071862719733760e-02,-7.967735629455711122e-01,1.000043835485447397e-01
1.780994367657958984e+09,1.400603027147665457e-02,-7.967522920408931508e-01,9.999442529592561524e-02
1.780994367668117762e+09,1.400254458920992262e-02,-7.967550383095630684e-01,1.000013057923926918e-01
1.780994367678311348e+09,1.399563784492855942e-02,-7.967437144698525930e-01,9.998191619404833697e-02
1.780994367688826561e+09,1.401236865294999863e-02,-7.967391270905691547e-01,9.994882357911993864e-02
1.780994367698976278e+09,1.401559791741680862e-02,-7.967749771631253974e-01,1.000001439209213805e-01
1.780994367709148169e+09,1.401654769280557405e-02,-7.967694466636203732e-01,9.999915690875077479e-02
1.780994367719342232e+09,1.400112900920169254e-02,-7.967511923351618952e-01,9.998535096400956723e-02
1.780994367730376482e+09,1.401796719136496824e-02,-7.967479830110522077e-01,9.998614702508135110e-02
1.780994367740666866e+09,1.401667057672173304e-02,-7.967582962160237869e-01,1.000033718833062690e-01
1.780994367750830173e+09,1.401051865782068293e-02,-7.967489743666503754e-01,1.000027720744968707e-01
1.780994367761081696e+09,1.400811157814328863e-02,-7.967719338795368200e-01,9.999798616008703789e-02
1.780994367771274567e+09,1.400737403379165649e-02,-7.967531485665163560e-01,9.997887995710219577e-02
1.780994367781788111e+09,1.400691759065982034e-02,-7.967576492194388127e-01,1.000002882975222773e-01
1.780994367793256998e+09,1.401523110711710117e-02,-7.967463419540372627e-01,9.998359066877859913e-02
1.780994367803461552e+09,1.401144312971326807e-02,-7.967490135643032767e-01,9.998203076494815988e-02
1.780994367814018488e+09,1.401615256729475331e-02,-7.967403862565316519e-01,9.996674328481025551e-02
1.780994367824460745e+09,1.399920247042617943e-02,-7.967474575605369980e-01,9.998460466509173639e-02
1.780994367834673405e+09,1.399227210849491622e-02,-7.967426313345083999e-01,9.996754168611671210e-02
1.780994367844985485e+09,1.400965391102925763e-02,-7.967515126789810331e-01,9.998503738342345848e-02
1.780994367855188131e+09,1.400127864913210986e-02,-7.967625614929195743e-01,9.999048967097262652e-02
1.780994367865837097e+09,1.398866342859311600e-02,-7.967366237808938267e-01,9.996889623792204471e-02
1.780994367876543760e+09,1.400748417014956171e-02,-7.967536096722751537e-01,9.996271635752551621e-02
1.780994367886744738e+09,1.400815659880217008e-02,-7.967564249163052725e-01,1.000031672077261180e-01
1.780994367896930456e+09,1.400569049124133006e-02,-7.967461001114927166e-01,9.997813710777492258e-02
1.780994367907121420e+09,1.400736145566144723e-02,-7.967530959059019313e-01,9.997162174804447021e-02
1.780994367917296648e+09,1.399898801708016061e-02,-7.967639314087813229e-01,1.000047990423885702e-01
1.780994367928041220e+09,1.401056456391305133e-02,-7.967539041193921756e-01,9.997931094904483063e-02
